,Name,Desc,rarity,img name icon,img full,img feature,season,tier,included in,promo,vbucks,price,challenge,style,set,type,status
1,1HP,Express yourself on the battlefield.,UNCOMMON,1-hp,null,null,3,52,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
2,200 IQ Play,Express yourself on the battlefield.,UNCOMMON,200-iq-play,null,null,3,74,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
3,A Looming Threat,"Once again, our heros must unite and heed the call to action.",UNCOMMON,a-looming-threat,a-looming-threat,null,0,0,null,null,0,0.00,Blockbuster Challenges,null,Blockbuster Set,LOADINGSCREEN,RELEASED
4,A+,Express yourself on the battlefield.,UNCOMMON,a-plus,null,null,3,54,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
5,A.I.M.,Scanning the area for targets,LEGENDARY,aim,null,null,0,0,null,null,0,0.00,Hunting Party Challenges,null,A.I.M. Set,OUTFIT,RELEASED
6,Abominable Axe,Expertly crafted by picking up that stick thatwas in a mountain stream,RARE,abominable-axe,null,null,7,38,null,null,0,0.00,null,null,Mountain Myths Set,HARVESTINGTOOL,RELEASED
7,Absolute Zero,Freeze out the competition,RARE,absolute-zero,absolute-zero,absolute-zero,0,0,null,null,1200,0.00,null,null,Arctic Command Set,OUTFIT,RELEASED
8,Abstrackt,The writing's on the wall,EPIC,abstrackt,abstrackt,abstrackt,0,0,null,null,1500,0.00,null,null,Aerosol Assassins Set,OUTFIT,RELEASED
9,Abstrakt,Showcase art,UNCOMMON,abstrakt,abstrakt,null,5,19,null,null,0,0.00,null,null,Aerosol Assassins Set,LOADINGSCREEN,RELEASED
10,Abtract,Leave your mark.,UNCOMMON,abstact,null,null,4,54,null,null,0,0.00,null,null,null,SPRAY,RELEASED
11,AC/DC,Warning: High Voltage!,EPIC,acdc,null,null,2,63,null,null,0,0.00,null,null,null,HARVESTINGTOOL,RELEASED
12,Accolades,Soak it all in.,RARE,accolades,null,null,0,0,null,null,500,0.00,null,null,null,DANCE,RELEASED
13,Ace,Express yourself on the battlefield.,UNCOMMON,ace,null,null,4,50,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
14,Aerial Assault One,Fly into battle on the wings of victory.,UNCOMMON,aerial-assault-one,null,null,0,0,null,null,800,0.00,null,null,null,GLIDER,RELEASED
15,Aerial Assault Trooper,Rare aerial assault trooper outfit.,RARE,aerial-assualt-trooper,aerial-assualt-trooper,aerial-assualt-trooper,0,0,null,null,1200,0.00,null,null,null,OUTFIT,RELEASED
16,Aerial Threat,Represent your country in style!,RARE,aerial-threat,aerial-threat,aerial-threat,0,0,null,null,1200,0.00,null,null,Goalbound Set,OUTFIT,RELEASED
17,Aerobic Assassin,Flex your victory muscles.,EPIC,aerobic-assassin,aerobic-assassin,aerobic-assassin,0,0,null,null,1500,0.00,null,null,Spandex Squad Set,OUTFIT,RELEASED
18,Aerosol Assassins,Concept art,UNCOMMON,aerosol-assassins,aerosol-assassins,null,4,60,null,null,0,0.00,null,null,Aerosol Assassins Set,LOADINGSCREEN,RELEASED
19,Air Tank,Catch your breath.,EPIC,air-tank,null,null,0,0,Reef Ranger,null,0,0.00,null,null,Divemasters Set,BACKBLING,RELEASED
20,Airflow,Tuned for turbulence,RARE,airflow,null,null,0,0,Airheart,null,0,0.00,null,null,Aviation Age Set,BACKBLING,RELEASED
21,Airfoil,Streamlined for optimal aerodynamics.,RARE,airfoil,null,null,0,0,null,null,800,0.00,null,null,Venture Set,HARVESTINGTOOL,RELEASED
22,Airheart,Setting records flying solo,RARE,airheart,null,airheart,0,0,null,null,1200,0.00,null,null,Aviation Age Set,OUTFIT,RELEASED
23,Airlift,Glide into the rescue.,EPIC,airlift,null,null,0,0,null,null,1200,0.00,null,null,Support Squadron,GLIDER,RELEASED
24,Alarm,Express yourself on the battlefield.,UNCOMMON,alarm,null,null,5,52,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
25,All-Star,Freefall in style.,RARE,all-star,null,null,3,50,null,null,0,0.00,null,null,null,CONTRAIL,RELEASED
26,Alphine Accessories,An olympic ski bag.,EPIC,alphine-accessories,null,null,0,0,Alphine Ace (USA),null,0,0.00,null,null,Winter Ski Set,BACKBLING,RELEASED
27,Alphine Accessories (CAN),An olympic ski bag.,EPIC,alphine-accessories-can,null,null,0,0,Alphine Ace (CAN),null,0,0.00,null,null,Winter Ski Set,BACKBLING,RELEASED
28,Alphine Accessories (CHN),An olympic ski bag.,EPIC,alphine-accessories-chn,null,null,0,0,Alphine Ace (CHN),null,0,0.00,null,null,Winter Ski Set,BACKBLING,RELEASED
29,Alphine Accessories (FRA),An olympic ski bag.,EPIC,alphine-accessories-fra,null,null,0,0,Alphine Ace (FRA),null,0,0.00,null,null,Winter Ski Set,BACKBLING,RELEASED
30,Alphine Accessories (GBR),An olympic ski bag.,EPIC,alphine-accessories-gbr,null,null,0,0,Alphine Ace (GBR),null,0,0.00,null,null,Winter Ski Set,BACKBLING,RELEASED
31,Alphine Accessories (GER),An olympic ski bag.,EPIC,alphine-accessories-ger,null,null,0,0,Alphine Ace (GER),null,0,0.00,null,null,Winter Ski Set,BACKBLING,RELEASED
32,Alphine Accessories (KOR),An olympic ski bag.,EPIC,alphine-accessories-kor,null,null,0,0,Alphine Ace (KOR),null,0,0.00,null,null,Winter Ski Set,BACKBLING,RELEASED
33,Alphine Accessories (USA),An olympic ski bag.,EPIC,alphine-accessories-usa,null,null,0,0,Alphine Ace (USA),null,0,0.00,null,null,Winter Ski Set,BACKBLING,RELEASED
34,Alphine Ace,So Aerodynamic!,EPIC,alphine-ace,alphine-ace,alphine-ace,0,0,null,null,1500,0.00,null,null,Winter Ski Set,OUTFIT,RELEASED
35,Alphine Ace (CAN),So Aerodynamic!,EPIC,alphine-ace-can,alphine-ace-can,alphine-ace-can,0,0,null,null,1500,0.00,null,null,Winter Ski Set,OUTFIT,RELEASED
36,Alphine Ace (CHN),So Aerodynamic!,EPIC,alphine-ace-chn,alphine-ace-chn,alphine-ace-chn,0,0,null,null,1500,0.00,null,null,Winter Ski Set,OUTFIT,RELEASED
37,Alphine Ace (FRA),So Aerodynamic!,EPIC,alphine-ace-fra,alphine-ace-fra,alphine-ace-fra,0,0,null,null,1500,0.00,null,null,Winter Ski Set,OUTFIT,RELEASED
38,Alphine Ace (GBR),So Aerodynamic!,EPIC,alphine-ace-gbr,alphine-ace-gbr,alphine-ace-gbr,0,0,null,null,1500,0.00,null,null,Winter Ski Set,OUTFIT,RELEASED
39,Alphine Ace (GER),So Aerodynamic!,EPIC,alphine-ace-ger,alphine-ace-ger,alphine-ace-ger,0,0,null,null,1500,0.00,null,null,Winter Ski Set,OUTFIT,RELEASED
40,Alphine Ace (KOR),So Aerodynamic!,EPIC,alphine-ace-kor,alphine-ace-kor,alphine-ace-kor,0,0,null,null,1500,0.00,null,null,Winter Ski Set,OUTFIT,RELEASED
41,Alphine Ace (USA),So Aerodynamic!,EPIC,alphine-ace-usa,alphine-ace-usa,alphine-ace-usa,0,0,null,null,1500,0.00,null,null,Winter Ski Set,OUTFIT,RELEASED
42,Amazed,Express yourself on the battlefiedl,UNCOMMON,amazed,null,null,7,53,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
43,Anarchy Axe,This axer does whatever it wants.,RARE,anarchy-axe,null,null,0,0,null,null,800,0.00,null,null,Volume 11 Set,HARVESTINGTOOL,RELEASED
44,Angel,Express yourself on the battlefield.,UNCOMMON,angel,null,null,4,14,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
45,Angular Axe,Acutely obtuse.,UNCOMMON,angular-axe,null,null,0,0,null,GeForce Bundle,0,0.00,null,null,null,HARVESTINGTOOL,RELEASED
46,Arachne,Weave a web to victory.,LEGENDARY,arachne,null,arachne,0,0,null,null,2000,0.00,null,null,Arachnid Set,OUTFIT,RELEASED
47,Arcanum,Perilous and potent.,EPIC,arcanum,null,null,0,0,Scourge,null,0,0.00,null,null,Grim Medicine Set,BACKBLING,RELEASED
48,Archetype,Engineered for combat performance.,EPIC,archetype,archetype,archetype,0,0,null,null,1500,0.00,null,null,Archetype Set,OUTFIT,RELEASED
49,Arctic Camo,Show your style.,RARE,arctic-camo,null,null,7,4,null,null,0,0.00,null,null,null,WRAP,RELEASED
50,Armadillo,Thick skinned and battle hardened.,UNCOMMON,armadillo,armadillo,armadillo,0,0,null,null,800,0.00,null,null,Advanced Forces Set,OUTFIT,RELEASED
51,Arrow,Leave your mark.,UNCOMMON,arrow,null,null,4,42,null,null,0,0.00,null,null,null,SPRAY,RELEASED
52,Artic Assassin,Stay frosty.,RARE,arctic-assassin,arctic-assassin,arctic-assassin,0,0,null,null,1200,0.00,null,null,Arctic Command Set,OUTFIT,RELEASED
53,Artifact,,RARE,artifact,null,null,0,0,null,Playstation Plus,0,0.00,null,null,null,CONTRAIL,RELEASED
54,Assault Trooper,Uncommon Assault Trooper outfit.,UNCOMMON,assault-trooper,assault-trooper,null,0,0,null,null,800,0.00,null,null,null,OUTFIT,RELEASED
55,Astro,Backpack is nominal.,EPIC,astro,null,null,3,47,null,null,0,0.00,null,null,Space Explorers Set,BACKBLING,RELEASED
56,At Last... I Am Free,I will reclaim my power. I will gather my allies. I will have my vengeance.,UNCOMMON,at-last-i-am-free,at-last-i-am-free,null,0,0,null,null,0,0.00,Blockbuster Challenges,null,Blockbuster Set,LOADINGSCREEN,RELEASED
57,Aurora ,Harness the solar wind,EPIC,aurora,null,null,0,0,null,Xbox One S Bundle,0,0.00,null,null,Eon Set,GLIDER,RELEASED
58,AutoCleave,Clean out the competition.,RARE,autocleave,null,null,0,0,null,null,800,0.00,null,null,Outbreak Set,HARVESTINGTOOL,RELEASED
59,Awww,Express yourself on the battlefield.,UNCOMMON,awww,null,null,3,38,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
60,Axcordion,Squeeze out a smashing tune,UNCOMMON,axcordion,null,null,0,0,null,null,500,0.00,null,null,Oktoberfest Set,HARVESTINGTOOL,RELEASED
61,Axecalibur,Stone and anvil not included,RARE,axecalibur,null,null,2,35,null,null,0,0.00,null,null,Fort Knights Set,HARVESTINGTOOL,RELEASED
62,Axercise,Feel the burn!,UNCOMMON,axercise,null,null,0,0,null,null,500,0.00,null,null,Spandex Squad Set,HARVESTINGTOOL,RELEASED
63,Axeroni,Victory by the slice!,RARE,axeroni,null,null,0,0,null,null,800,0.00,null,null,Pizza Pit Set,HARVESTINGTOOL,RELEASED
64,Baby Seal,Express yourself on the battlefield.,UNCOMMON,baby-seal,null,null,4,24,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
65,Back Plate,Put your back into it,EPIC,back-plate,null,null,0,0,Aerobic Assassin,null,0,0.00,null,null,Spandex Squad Set,BACKBLING,RELEASED
66,Backbone,King of the highway!,RARE,backbone,backbone,backbone,0,0,null,null,1200,0.00,null,null,Biker Brigade Set,OUTFIT,RELEASED
67,Backstroke,Put your back into it,RARE,backstroke,null,null,0,0,null,null,500,0.00,null,null,null,DANCE,RELEASED
68,Backup Plan,Leave a wake of destructions,LEGENDARY,backup-plan,null,null,0,0,null,Twitch Prime,0,0.00,null,null,null,BACKBLING,RELEASED
69,Bad Apple,Express yourself on the battlefield.,UNCOMMON,bad-apple,null,null,5,85,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
70,Bag of Coal,Leave your mark.,UNCOMMON,bag-of-coal,null,null,7,20,null,null,0,0.00,null,null,null,SPRAY,RELEASED
71,Baited,Express yourself on the battlefield.,UNCOMMON,baited,null,null,2,47,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
72,Baited,Leave your mark.,UNCOMMON,baited,null,null,7,80,null,null,0,0.00,null,null,null,SPRAY,RELEASED
73,Baller,Show off your moves.,RARE,baller,null,null,0,0,null,null,500,0.00,null,null,null,DANCE,RELEASED
74,Ballistic,Locked in.,EPIC,ballistic,null,null,0,0,Shade,null,0,0.00,null,null,Cobra Crew Set,BACKBLING,RELEASED
75,Ballon Axe,Deflate the competition,RARE,baloon-axe,null,null,5,15,null,null,0,0.00,null,null,Party Parade Set,HARVESTINGTOOL,RELEASED
76,Balloon Llama,Inflate a friend.,EPIC,balloon-llama,null,null,0,0,Nite Nite,null,0,0.00,null,null,Party Parade Set,BACKBLING,RELEASED
77,Bamboo,Fresh and crunchy.,LEGENDARY,bamboo,null,null,0,0,P.A.N.A.D.A Team Leader,null,0,0.00,null,null,null,BACKBLING,RELEASED
78,Bananas,Express yourself on the battlefield.,UNCOMMON,bananas,null,null,4,90,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
79,Bananas,Leave your mark.,UNCOMMON,bananas,null,null,7,70,null,null,0,0.00,null,null,null,SPRAY,RELEASED
80,Bandolier,No shirt. No surrender,EPIC,bandolier,bandolier,bandolier,0,0,null,null,1500,0.00,null,null,null,OUTFIT,RELEASED
81,Bandolier,Showcase art,UNCOMMON,bandolier,bandolier,null,5,86,null,null,0,0.00,null,null,null,LOADINGSCREEN,RELEASED
82,Bang,Express yourself on the battlefield,UNCOMMON,bang,null,null,6,5,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
83,Basketball,Shoot a three!,RARE,basketball,null,null,5,11,null,null,0,0.00,null,null,null,TOY,RELEASED
84,Bat Attitude,Carry a grudge.,EPIC,bat-attitude,null,null,0,0,Maverick,null,0,0.00,null,null,Cobra Crew Set,BACKBLING,RELEASED
85,Bats!,There's so many of them!,RARE,bats,null,null,6,68,null,null,0,0.00,null,null,Nite Coven Set,CONTRAIL,RELEASED
86,Batsickle,Take a crack at harvesting with the Batsickle. It's half bat. Half sickle. All Batsickle.,RARE,batsickle,null,null,0,0,null,null,800,0.00,null,null,null,HARVESTINGTOOL,RELEASED
87,Battle Balloon,Where we poppin?,EPIC,battle-balloon,null,null,0,0,Peekaboo,null,0,0.00,null,null,Party Parade Set,BACKBLING,RELEASED
88,Battle Bus,Express yourself on the battlefield,UNCOMMON,battle-bus,null,null,6,8,null,null,0,0.00,null,null,null,EMOTICON,RELEASED
89,Battle Call,,UNCOMMON,battle-call,null,null,0,0,null,null,200,0.00,null,null,null,DANCE,RELEASED
90,Battle Hound,Release the hound!,LEGENDARY,battle-hound,battle-hound,battle-hound,0,0,null,null,2000,0.00,null,null,null,OUTFIT,RELEASED
